segment,lon,lat,depth,slip,strike,dip,rake,rupturetime,length,width
1,174.1954,-41.654,21000000.0,0.13805,234.0,74.9,179.38, ,1000.0,1035.762
1,174.1936,-41.652,22000000.0,0.08769,234.0,74.9,179.86, ,1000.0,1035.762
1,174.1918,-41.65,23000000.0,0.05015,234.0,74.9,180.0, ,1000.0,1035.762
1,174.19,-41.648,24000000.0,0.02234,234.0,74.9,179.99, ,1000.0,1035.762
1,174.2236,-41.7013,0.0,0.34515,234.0,74.9,144.71, ,1000.0,1035.762
1,174.2218,-41.6993,1000000.0,0.6058,234.0,74.9,152.7, ,1000.0,1035.762
1,174.2199,-41.6973,2000000.0,0.866,234.0,74.9,155.67, ,1000.0,1035.762
1,174.2181,-41.6953,3000000.0,1.10831,234.0,74.9,157.14, ,1000.0,1035.762
1,174.2163,-41.6933,4000000.0,1.31606,234.0,74.9,158.2, ,1000.0,1035.762
1,174.2145,-41.6913,5000000.0,1.47681,234.0,74.9,159.25, ,1000.0,1035.762
1,174.2127,-41.6892,6000000.0,1.58388,234.0,74.9,160.42, ,1000.0,1035.762
1,174.2109,-41.6872,7000000.0,1.6361,234.0,74.9,161.72, ,1000.0,1035.762
1,174.2091,-41.6852,8000000.0,1.63667,234.0,74.9,163.13, ,1000.0,1035.762
1,174.2073,-41.6832,9000000.0,1.5917,234.0,74.9,164.63, ,1000.0,1035.762
1,174.2054,-41.6812,10000000.0,1.50899,234.0,74.9,166.16, ,1000.0,1035.762
1,174.2036,-41.6792,11000000.0,1.39699,234.0,74.9,167.72, ,1000.0,1035.762
1,174.2018,-41.6772,12000000.0,1.26417,234.0,74.9,169.26, ,1000.0,1035.762
1,174.2,-41.6752,13000000.0,1.11852,234.0,74.9,170.78, ,1000.0,1035.762
1,174.1982,-41.6731,14000000.0,0.96727,234.0,74.9,172.24, ,1000.0,1035.762
1,174.1964,-41.6711,15000000.0,0.81675,234.0,74.9,173.65, ,1000.0,1035.762
1,174.1946,-41.6691,16000000.0,0.67228,234.0,74.9,174.97, ,1000.0,1035.762
1,174.1927,-41.6671,17000000.0,0.53815,234.0,74.9,176.21, ,1000.0,1035.762
1,174.1909,-41.6651,18000000.0,0.41761,234.0,74.9,177.33, ,1000.0,1035.762
1,174.1891,-41.6631,19000000.0,0.3128,234.0,74.9,178.31, ,1000.0,1035.762
1,174.1873,-41.6611,20000000.0,0.22484,234.0,74.9,179.11, ,1000.0,1035.762
1,174.1855,-41.659,21000000.0,0.15376,234.0,74.9,179.67, ,1000.0,1035.762
1,174.1837,-41.657,22000000.0,0.0985,234.0,74.9,179.97, ,1000.0,1035.762
1,174.1819,-41.655,23000000.0,0.05688,234.0,74.9,180.0, ,1000.0,1035.762
1,174.1801,-41.653,24000000.0,0.02556,234.0,74.9,179.94, ,1000.0,1035.762
1,174.2136,-41.7064,0.0,0.42126,234.0,74.9,145.7, ,1000.0,1035.762
1,174.2118,-41.7043,1000000.0,0.69471,234.0,74.9,153.42, ,1000.0,1035.762
1,174.21,-41.7023,2000000.0,0.97666,234.0,74.9,156.3, ,1000.0,1035.762
1,174.2082,-41.7003,3000000.0,1.24096,234.0,74.9,157.78, ,1000.0,1035.762
1,174.2064,-41.6983,4000000.0,1.46564,234.0,74.9,158.91, ,1000.0,1035.762
1,174.2046,-41.6963,5000000.0,1.63614,234.0,74.9,160.06, ,1000.0,1035.762
1,174.2027,-41.6943,6000000.0,1.74579,234.0,74.9,161.32, ,1000.0,1035.762
1,174.2009,-41.6923,7000000.0,1.79453,234.0,74.9,162.71, ,1000.0,1035.762
1,174.1991,-41.6903,8000000.0,1.787,234.0,74.9,164.19, ,1000.0,1035.762
1,174.1973,-41.6882,9000000.0,1.73079,234.0,74.9,165.73, ,1000.0,1035.762
1,174.1955,-41.6862,10000000.0,1.63492,234.0,74.9,167.3, ,1000.0,1035.762
1,174.1937,-41.6842,11000000.0,1.50887,234.0,74.9,168.86, ,1000.0,1035.762
1,174.1919,-41.6822,12000000.0,1.36184,234.0,74.9,170.4, ,1000.0,1035.762
